noise_type,mAP@50,mAP@50-95,AP50_crazing,AP50_inclusion,AP50_patches,AP50_pitted_surface,AP50_rolled-in_scale,AP50_scratches
clean_baseline,0.8264279215539627,0.5297162348272528,0.4776069957280476,0.9154529701581837,0.9720815365706837,0.8775139156506502,0.7549013708117485,0.961010740404462
high_frequency_noise,0.06516387100140965,0.03451884015126199,0.032493038357493606,0.00533410253254813,0.33869083415511547,0.014465250963300686,0.0,0.0
motion_blur,0.382384858606504,0.19155940715584005,0.19395584848895123,0.3414713827643201,0.5973366484028759,0.265984126484599,0.19212379204309882,0.7034373534551792
lighting_variability,0.5310384625367554,0.2626979552404908,0.2885543539613006,0.5945948009273292,0.6555574368208942,0.5634490327172024,0.4870100905263097,0.5970650602674963
