epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,1060.11,1.44986,1.48845,1.51577,0.49535,0.51371,0.50645,0.25759,1.67241,1.48028,1.59766,0.000978443,0.000978443,0.000978443
35,1091.37,1.45952,1.4581,1.51073,0.5804,0.63703,0.65111,0.35181,1.43255,1.34118,1.40633,0.000977127,0.000977127,0.000977127
36,1123.09,1.4111,1.42021,1.49317,0.53963,0.65447,0.6358,0.33534,1.45928,1.87771,1.41912,0.000975773,0.000975773,0.000975773
37,1155.67,1.42416,1.46623,1.51058,0.71348,0.53262,0.60406,0.31375,1.48857,2.02221,1.45877,0.000974381,0.000974381,0.000974381
38,1186.73,1.42992,1.3936,1.51898,0.52694,0.48708,0.49184,0.25273,1.74233,1.70958,1.68909,0.000972951,0.000972951,0.000972951
39,1215.79,1.42139,1.47117,1.497,0.64548,0.58816,0.63724,0.3391,1.42379,1.36299,1.41417,0.000971484,0.000971484,0.000971484
40,1245.69,1.41944,1.35364,1.4814,0.70562,0.62891,0.7097,0.37672,1.48732,1.18441,1.4131,0.000969979,0.000969979,0.000969979
41,1277.86,1.42127,1.42299,1.50078,0.61253,0.63957,0.69271,0.35746,1.51817,1.24375,1.41285,0.000968436,0.000968436,0.000968436
42,1306.87,1.46017,1.39325,1.50547,0.62768,0.62854,0.65961,0.3543,1.48033,1.25906,1.43983,0.000966856,0.000966856,0.000966856
43,1338.67,1.42778,1.39833,1.48326,0.64528,0.65127,0.67052,0.3614,1.40742,1.44547,1.36389,0.000965239,0.000965239,0.000965239
44,1371.18,1.39259,1.35557,1.47916,0.56185,0.61363,0.60063,0.31378,1.48308,1.51177,1.44809,0.000963585,0.000963585,0.000963585
45,1403.85,1.45092,1.39764,1.53287,0.65643,0.54103,0.56175,0.29311,1.53144,1.91327,1.48101,0.000961894,0.000961894,0.000961894
46,1431.65,1.38335,1.3652,1.46983,0.59847,0.66311,0.68749,0.38311,1.40017,1.22134,1.37948,0.000960166,0.000960166,0.000960166
47,1459.96,1.39129,1.39332,1.48294,0.62564,0.6523,0.68904,0.38546,1.39185,1.27236,1.36856,0.000958402,0.000958402,0.000958402
48,1488.32,1.40416,1.31278,1.46995,0.61717,0.57771,0.62109,0.3342,1.48346,1.30688,1.43048,0.000956601,0.000956601,0.000956601
49,1520.56,1.33998,1.28683,1.41994,0.608,0.63496,0.64676,0.36083,1.44561,1.5006,1.41468,0.000954763,0.000954763,0.000954763
